Provinsi,KodeKabKot,Y,X1,X2,X3,X4,X5,X6,Z1,Z2,Z3,Z4
11,1101,0,1,27,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,38,0,0,1,0,1.077,15.075,26.919,390.869
11,1101,1,1,39,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,36,0,0,0,1,1.077,15.075,26.919,390.869
11,1101,0,0,32,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,32,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,27,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,36,1,0,0,0,1.077,15.075,26.919,390.869
11,1101,1,1,20,0,1,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,28,1,0,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,27,0,1,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,36,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,33,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,23,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,32,1,0,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,21,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,31,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,26,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,24,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,1,1,27,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,19,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,41,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,1,1,36,0,0,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,36,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,25,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,33,1,0,1,0,1.077,15.075,26.919,390.869
11,1101,1,1,34,0,0,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,32,1,1,1,1,1.077,15.075,26.919,390.869
11,1101,0,0,44,1,1,0,1,1.077,15.075,26.919,390.869
11,1101,0,0,32,1,1,1,1,1.077,15.075,26.919,390.869
11,1101,1,1,29,1,1,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,25,1,0,1,1,1.077,15.075,26.919,390.869
11,1101,0,1,41,0,0,1,1,1.077,15.075,26.919,390.869
11,1101,1,1,27,1,1,1,1,1.077,15.075,26.919,390.869
11,1101,1,1,30,1,0,1,0,1.077,15.075,26.919,390.869
11,1101,0,1,25,0,1,1,0,1.077,15.075,26.919,390.869
11,1102,0,1,33,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,28,0,0,0,0,0.790,9.485,34.780,271.125
11,1102,1,0,23,1,0,0,1,0.790,9.485,34.780,271.125
11,1102,1,1,23,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,1,1,30,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,34,0,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,0,24,1,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,0,20,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,32,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,1,1,37,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,25,0,0,1,0,0.790,9.485,34.780,271.125
11,1102,0,1,30,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,34,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,31,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,36,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,21,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,34,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,25,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,0,40,0,1,1,1,0.790,9.485,34.780,271.125
11,1102,1,1,29,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,30,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,31,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,0,29,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,31,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,38,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,22,1,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,28,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,0,25,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,0,26,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,28,1,1,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,30,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,29,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,39,0,1,0,1,0.790,9.485,34.780,271.125
11,1102,0,0,25,1,0,1,0,0.790,9.485,34.780,271.125
11,1102,0,1,28,1,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,1,23,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,29,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,32,1,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,20,0,0,1,1,0.790,9.485,34.780,271.125
11,1102,0,0,25,0,0,0,1,0.790,9.485,34.780,271.125
11,1102,0,1,23,1,0,1,0,0.790,9.485,34.780,271.125
11,1102,0,1,31,1,0,0,0,0.790,9.485,34.780,271.125
11,1102,0,1,29,1,0,1,1,0.790,9.485,34.780,271.125
11,1103,0,1,26,1,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,32,1,1,0,1,0.430,12.908,34.422,299.471
11,1103,0,1,29,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,38,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,32,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,41,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,27,1,0,1,0,0.430,12.908,34.422,299.471
11,1103,1,1,41,1,1,0,1,0.430,12.908,34.422,299.471
11,1103,1,1,29,1,1,1,1,0.430,12.908,34.422,299.471
11,1103,1,1,33,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,29,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,31,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,39,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,25,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,0,40,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,0,27,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,39,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,39,0,0,1,0,0.430,12.908,34.422,299.471
11,1103,0,1,29,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,26,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,33,1,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,34,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,29,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,29,1,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,40,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,32,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,31,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,35,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,1,1,37,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,1,1,34,0,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,38,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,37,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,19,0,1,0,1,0.430,12.908,34.422,299.471
11,1103,0,1,30,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,1,1,35,0,0,1,1,0.430,12.908,34.422,299.471
11,1103,1,1,22,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,36,1,0,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,42,1,1,1,1,0.430,12.908,34.422,299.471
11,1103,0,1,30,1,0,1,1,0.430,12.908,34.422,299.471
